Sex,Age,Eng1,Math1,Phy1,Chem1,Bio1,Eng2,Math2,Phy2,Chem2,Bio2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Eng3,Math3,Phy3,Chem3,Bio3
M,17.0,59.0,54.0,50.0,50.0,46.0,78.0,65.0,51.0,57.0,71.0,Excellent,Father Only,Less Than 5000,No Education,No,3-3.5,Trading,No,59.0,59.0,45.0,51.0,77.0
M,17.0,83.0,93.0,98.0,85.0,94.0,95.0,94.0,94.0,91.0,91.0,Good,Mother and Father,10000-20000,Diploma,No,3.5-4,Civil Servant,Yes,85.0,83.0,83.0,76.0,84.0
F,17.0,59.0,50.0,53.0,65.0,60.0,85.0,65.0,64.0,62.0,70.0,Excellent,Mother Only,5000-10000,No Education,Yes,3-3.5,Civil Servant,Yes,54.0,63.0,63.0,52.0,88.0
M,17.0,56.0,48.0,53.0,61.0,58.0,87.0,62.0,70.0,62.0,71.0,Good,Mother and Father,5000-10000,No Education,No,3-3.5,Civil Servant,No,65.0,65.0,64.0,58.0,86.0
F,17.0,57.0,51.0,51.0,57.0,67.0,87.0,63.0,62.0,56.0,70.0,Very Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,54.0,61.0,60.0,55.0,83.0
F,17.0,70.0,45.0,55.0,63.0,62.0,82.0,68.0,70.0,56.0,72.0,Good,Mother and Father,More Than 20000,No Education,No,3-3.5,Military,Yes,61.0,53.0,39.0,56.0,86.0
F,16.0,53.0,50.0,51.0,50.0,53.0,69.0,62.0,50.0,58.0,65.0,Very Good,Mother and Father,Less Than 5000,Degree,Yes,3-3.5,Civil Servant,Yes,59.0,57.0,43.0,49.0,84.0
F,17.0,61.0,47.0,58.0,59.0,61.0,70.0,66.0,55.0,57.0,58.0,Very Good,Mother and Father,5000-10000,Degree,No,3-3.5,Trading,Yes,54.0,51.0,50.0,54.0,51.0
M,16.0,64.0,39.0,64.0,67.0,65.0,83.0,71.0,75.0,61.0,55.0,Good,Mother and Father,10000-20000,Masters,Yes,3-3.5,Civil Servant,Yes,56.0,57.0,52.0,57.0,67.0
F,17.0,56.0,46.0,45.0,60.0,57.0,86.0,63.0,66.0,56.0,69.0,Good,Mother and Father,More Than 20000,Degree,Yes,3-3.5,Civil Servant,Yes,40.0,60.0,53.0,48.0,77.0
F,16.0,66.0,43.0,50.0,58.0,57.0,86.0,64.0,65.0,52.0,74.0,Good,Mother and Father,5000-10000,Degree,No,3-3.5,Civil Servant,Yes,63.0,55.0,48.0,52.0,85.0
F,16.0,55.0,38.0,45.0,50.0,42.0,71.0,70.0,59.0,58.0,73.0,Good,Mother and Father,10000-20000,High School,Yes,2.5-3,Civil Servant,Yes,57.0,61.0,49.0,53.0,88.0
F,16.0,58.0,42.0,58.0,55.0,44.0,56.0,50.0,53.0,53.0,69.0,Very Good,Other Relatives,Less Than 5000,Masters,No,2.5-3,Civil Servant,Yes,46.0,52.0,51.0,46.0,71.0
F,18.0,64.0,36.0,50.0,60.0,47.0,85.0,63.0,44.0,59.0,47.0,Good,Mother Only,5000-10000,Degree,No,3-3.5,Civil Servant,Yes,50.0,60.0,41.0,37.0,74.0
M,17.0,57.0,42.0,60.0,59.0,53.0,64.0,53.0,60.0,60.0,66.0,Good,Siblings,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,52.0,53.0,48.0,43.0,83.0
M,17.0,60.0,42.0,50.0,52.0,52.0,81.0,65.0,72.0,51.0,72.0,Very Good,Mother and Father,10000-20000,Masters,Yes,3-3.5,Civil Servant,Yes,51.0,57.0,51.0,49.0,78.0
F,16.0,81.0,46.0,42.0,58.0,57.0,83.0,56.0,55.0,60.0,70.0,Satisfactory,Mother and Father,Less Than 5000,Degree,No,3.5-4,Civil Servant,Yes,64.0,58.0,48.0,50.0,86.0
F,17.0,58.0,43.0,53.0,44.0,56.0,80.0,58.0,66.0,55.0,73.0,Good,Mother Only,Less Than 5000,Degree,No,3-3.5,Civil Servant,No,50.0,55.0,54.0,51.0,82.0
F,15.0,74.0,50.0,50.0,58.0,54.0,82.0,63.0,44.0,48.0,64.0,Excellent,Mother and Father,5000-10000,Degree,Yes,3.5-4,Civil Servant,Yes,56.0,61.0,50.0,59.0,87.0
F,17.0,55.0,50.0,50.0,54.0,55.0,80.0,61.0,50.0,53.0,63.0,Very Good,Mother Only,More Than 20000,Masters,Yes,2.5-3,Trading,Yes,60.0,59.0,45.0,59.0,74.0
F,16.0,50.0,37.0,51.0,50.0,48.0,82.0,65.0,50.0,52.0,64.0,Good,Mother Only,Less Than 5000,Diploma,No,3-3.5,Civil Servant,Yes,59.0,55.0,51.0,46.0,78.0
F,17.0,59.0,43.0,56.0,57.0,54.0,84.0,70.0,67.0,59.0,71.0,Good,Mother and Father,5000-10000,High School,No,2.5-3,Trading,Yes,57.0,48.0,53.0,52.0,92.0
M,16.0,67.0,57.0,70.0,69.0,55.0,83.0,69.0,72.0,67.0,66.0,Good,Mother and Father,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,63.0,56.0,56.0,42.0,86.0
F,16.0,64.0,57.0,70.0,61.0,66.0,73.0,70.0,71.0,58.0,47.0,Good,Siblings,5000-10000,Degree,Yes,3-3.5,Trading,Yes,63.0,70.0,62.0,57.0,68.0
M,18.0,69.0,41.0,54.0,53.0,45.0,76.0,59.0,64.0,56.0,69.0,Very Good,Mother Only,5000-10000,High School,Yes,3.5-4,Civil Servant,Yes,55.0,59.0,58.0,53.0,79.0
M,18.0,83.0,78.0,78.0,84.0,92.0,74.0,70.0,81.0,78.0,84.0,Very Good,Mother and Father,Less Than 5000,Degree,Yes,3.5-4,Trading,Yes,55.0,68.0,69.0,66.0,71.0
F,17.0,65.0,70.0,74.0,66.0,63.0,63.0,54.0,70.0,70.0,43.0,Very Good,Siblings,More Than 20000,High School,No,2.5-3,Civil Servant,Yes,58.0,59.0,55.0,57.0,79.0
F,17.0,53.0,66.0,65.0,54.0,2.0,63.0,52.0,58.0,56.0,43.0,Excellent,Siblings,10000-20000,Degree,Yes,2.5-3,Civil Servant,Yes,47.0,56.0,46.0,54.0,70.0
M,18.0,55.0,60.0,59.0,55.0,45.0,65.0,41.0,53.0,56.0,40.0,Very Good,Mother Only,More Than 20000,PhD,Yes,2-2.5,Trading,Yes,51.0,60.0,52.0,46.0,69.0
M,16.0,58.0,59.0,52.0,61.0,46.0,69.0,50.0,44.0,47.0,49.0,Good,Mother and Father,Less Than 5000,Degree,Yes,3-3.5,Artisan,Yes,45.0,56.0,45.0,52.0,69.0
M,16.0,62.0,52.0,43.0,51.0,51.0,59.0,38.0,56.0,48.0,49.0,Excellent,Mother and Father,More Than 20000,Diploma,Yes,2.5-3,Trading,Yes,51.0,63.0,54.0,50.0,72.0
F,17.0,64.0,83.0,96.0,76.0,74.0,78.0,82.0,73.0,82.0,57.0,Very Good,Mother and Father,5000-10000,Masters,No,2.5-3,Artisan,Yes,58.0,65.0,65.0,75.0,70.0
F,17.0,44.0,65.0,67.0,58.0,52.0,63.0,30.0,52.0,51.0,44.0,Satisfactory,Mother and Father,5000-10000,Degree,No,3-3.5,Military,No,50.0,54.0,45.0,42.0,69.0
F,19.0,60.0,82.0,82.0,80.0,76.0,73.0,72.0,60.0,55.0,57.0,Very Good,Other Relatives,5000-10000,Degree,No,3-3.5,Civil Servant,Yes,51.0,49.0,46.0,58.0,69.0
F,16.0,61.0,56.0,51.0,57.0,50.0,67.0,54.0,46.0,49.0,38.0,Good,Mother and Father,Less Than 5000,High SchoolDropout,No,3-3.5,Civil Servant,Yes,58.0,67.0,47.0,58.0,62.0
M,16.0,52.0,47.0,55.0,50.0,50.0,42.0,45.0,50.0,50.0,40.0,Very Good,Mother and Father,5000-10000,Masters,No,3.5-4,Trading,Yes,48.0,56.0,44.0,52.0,65.0
F,18.0,57.0,50.0,50.0,50.0,43.0,60.0,45.0,51.0,54.0,50.0,Excellent,Mother and Father,Less Than 5000,No Education,No,3.5-4,Trading,Yes,48.0,54.0,55.0,51.0,59.0
M,16.0,60.0,53.0,52.0,50.0,51.0,62.0,48.0,57.0,56.0,46.0,Very Good,Mother and Father,5000-10000,Degree,No,3-3.5,Trading,Yes,48.0,59.0,44.0,56.0,75.0
F,18.0,59.0,61.0,70.0,62.0,59.0,70.0,67.0,63.0,62.0,48.0,Good,Mother and Father,5000-10000,Degree,No,2.5-3,Trading,Yes,58.0,62.0,46.0,56.0,86.0
F,18.0,60.0,50.0,52.0,56.0,54.0,60.0,45.0,39.0,51.0,42.0,Very Good,Mother and Father,Less Than 5000,Degree,Yes,3-3.5,Civil Servant,Yes,50.0,67.0,51.0,55.0,78.0
F,17.0,57.0,54.0,63.0,65.0,64.0,73.0,60.0,62.0,67.0,59.0,Excellent,Mother Only,Less Than 5000,Diploma,No,2.5-3,Civil Servant,Yes,60.0,67.0,58.0,53.0,84.0
M,17.0,55.0,70.0,80.0,82.0,82.0,69.0,80.0,85.0,84.0,78.0,Very Good,Siblings,Less Than 5000,Degree,No,2.5-3,Civil Servant,Yes,60.0,76.0,62.0,81.0,82.0
F,17.0,55.0,51.0,57.0,65.0,43.0,62.0,43.0,56.0,59.0,46.0,Good,Mother and Father,Less Than 5000,High SchoolDropout,Yes,3-3.5,Civil Servant,Yes,45.0,41.0,46.0,44.0,76.0
F,17.0,58.0,50.0,52.0,66.0,49.0,54.0,52.0,47.0,44.0,44.0,Good,Mother Only,Less Than 5000,High School,No,3-3.5,Trading,Yes,58.0,34.0,43.0,50.0,70.0
M,17.0,58.0,41.0,44.0,52.0,62.0,56.0,53.0,61.0,66.0,38.0,Very Good,Mother and Father,Less Than 5000,PhD,Yes,3.5-4,Military,Yes,62.0,55.0,48.0,48.0,65.0
M,17.0,52.0,45.0,18.0,48.0,55.0,62.0,50.0,48.0,61.0,42.0,Very Good,Mother and Father,5000-10000,High School,Yes,2.5-3,Civil Servant,No,58.0,56.0,48.0,51.0,65.0
M,16.0,66.0,59.0,56.0,74.0,78.0,74.0,65.0,78.0,85.0,88.0,Excellent,Mother and Father,More Than 20000,Masters,Yes,3-3.5,Trading,No,86.0,79.0,61.0,81.0,91.0
F,16.0,60.0,50.0,49.0,62.0,62.0,65.0,50.0,49.0,69.0,33.0,Satisfactory,Mother Only,10000-20000,Degree,Yes,3-3.5,Trading,Yes,78.0,67.0,59.0,50.0,68.0
M,16.0,61.0,37.0,45.0,57.0,54.0,70.0,49.0,65.0,69.0,31.0,Very Good,Mother and Father,10000-20000,Degree,Yes,3-3.5,Civil Servant,No,62.0,61.0,49.0,42.0,69.0
F,16.0,54.0,50.0,41.0,56.0,58.0,70.0,53.0,57.0,69.0,48.0,Very Good,Mother and Father,10000-20000,Degree,Yes,3-3.5,Civil Servant,No,60.0,57.0,57.0,46.0,70.0
F,16.0,59.0,41.0,42.0,58.0,67.0,59.0,53.0,50.0,69.0,43.0,Good,Father Only,Less Than 5000,High School,Yes,2-2.5,Trading,No,62.0,53.0,51.0,50.0,78.0
M,16.0,73.0,71.0,59.0,80.0,95.0,81.0,72.0,80.0,94.0,88.0,Satisfactory,Mother and Father,Less Than 5000,High School,No,3.5-4,Trading,Yes,86.0,90.0,79.0,93.0,92.0
F,17.0,44.0,45.0,49.0,62.0,81.0,56.0,52.0,49.0,57.0,29.0,Good,Mother and Father,More Than 20000,Masters,Yes,3-3.5,Artisan,Yes,59.0,47.0,38.0,41.0,32.0
M,16.0,50.0,50.0,26.0,57.0,64.0,31.0,50.0,47.0,59.0,33.0,Good,Mother and Father,More Than 20000,Degree,Yes,2.5-3,Trading,Yes,59.0,68.0,38.0,44.0,57.0
M,18.0,73.0,38.0,46.0,54.0,45.0,59.0,52.0,52.0,66.0,36.0,Excellent,Mother Only,More Than 20000,Degree,Yes,3.5-4,Trading,Yes,57.0,56.0,44.0,48.0,75.0
F,18.0,64.0,41.0,40.0,61.0,65.0,65.0,53.0,56.0,66.0,44.0,Satisfactory,Siblings,5000-10000,Masters,No,3.5-4,Civil Servant,Yes,50.0,70.0,44.0,48.0,75.0
F,18.0,60.0,52.0,42.0,58.0,62.0,52.0,42.0,42.0,59.0,21.0,Satisfactory,Mother and Father,Less Than 5000,Masters,No,3-3.5,Military,No,60.0,34.0,41.0,38.0,41.0
F,17.0,65.0,39.0,51.0,67.0,58.0,49.0,50.0,58.0,61.0,21.0,Excellent,Mother Only,10000-20000,Diploma,Yes,2-2.5,Civil Servant,Yes,60.0,74.0,56.0,51.0,74.0
M,16.0,49.0,50.0,50.0,64.0,70.0,65.0,46.0,63.0,72.0,45.0,Good,Mother and Father,5000-10000,Diploma,Yes,2.5-3,Artisan,Yes,60.0,77.0,60.0,53.0,69.0
M,17.0,55.0,50.0,48.0,55.0,65.0,56.0,41.0,50.0,62.0,43.0,Good,Mother Only,Less Than 5000,High School,No,3-3.5,Civil Servant,Yes,58.0,73.0,45.0,42.0,66.0
M,16.0,51.0,41.0,42.0,63.0,54.0,61.0,44.0,40.0,64.0,38.0,Good,Mother Only,5000-10000,Masters,No,3-3.5,Trading,No,59.0,52.0,39.0,47.0,75.0
M,21.0,62.0,40.0,33.0,47.0,48.0,50.0,47.0,45.0,65.0,29.0,Satisfactory,I Live Alone,More Than 20000,High School,No,3.5-4,Military,No,62.0,55.0,41.0,48.0,66.0
M,17.0,74.0,44.0,51.0,62.0,73.0,78.0,46.0,65.0,70.0,60.0,Good,Mother and Father,More Than 20000,Degree,No,3-3.5,Trading,Yes,88.0,86.0,72.0,66.0,84.0
F,17.0,59.0,40.0,45.0,51.0,37.0,44.0,50.0,42.0,61.0,32.0,Excellent,Mother and Father,5000-10000,Diploma,Yes,3-3.5,Military,Yes,67.0,72.0,55.0,46.0,60.0
F,16.0,63.0,60.0,59.0,65.0,69.0,63.0,55.0,60.0,65.0,54.0,Excellent,Father Only,5000-10000,High School,Yes,3-3.5,Military,Yes,60.0,62.0,54.0,50.0,46.0
M,16.0,62.0,50.0,43.0,60.0,62.0,58.0,52.0,52.0,67.0,40.0,Good,Mother and Father,5000-10000,Degree,Yes,2.5-3,Trading,Yes,62.0,58.0,45.0,46.0,63.0
F,17.0,64.0,50.0,50.0,62.0,67.0,66.0,55.0,56.0,66.0,44.0,Good,Father Only,Less Than 5000,Masters,No,3.5-4,Military,No,63.0,50.0,45.0,50.0,52.0
M,18.0,64.0,57.0,33.0,68.0,64.0,49.0,46.0,42.0,62.0,26.0,Good,Father Only,Less Than 5000,High SchoolDropout,No,3-3.5,Trading,No,84.0,46.0,44.0,44.0,27.0
M,17.0,80.0,95.0,90.0,85.0,95.0,63.0,47.0,60.0,79.0,40.0,Good,Siblings,5000-10000,High SchoolDropout,Yes,3.5-4,Trading,No,54.0,56.0,53.0,48.0,62.0
M,17.0,54.0,42.0,29.0,42.0,59.0,58.0,58.0,60.0,29.0,40.0,Good,I Live Alone,More Than 20000,Degree,No,2.5-3,Artisan,Yes,53.0,46.0,40.0,43.0,20.0
F,17.0,63.0,44.0,50.0,65.0,64.0,72.0,52.0,58.0,60.0,50.0,Very Good,Mother and Father,Less Than 5000,Degree,No,3.5-4,Civil Servant,Yes,56.0,51.0,68.0,61.0,66.0
F,16.0,54.0,50.0,56.0,59.0,75.0,64.0,62.0,54.0,59.0,63.0,Very Good,Mother Only,5000-10000,Diploma,Yes,3-3.5,Artisan,Yes,58.0,51.0,64.0,56.0,73.0
M,17.0,61.0,50.0,67.0,60.0,62.0,73.0,59.0,80.0,64.0,53.0,Good,Siblings,5000-10000,Degree,Yes,2-2.5,Artisan,Yes,53.0,57.0,73.0,48.0,76.0
M,17.0,63.0,57.0,51.0,51.0,78.0,77.0,56.0,76.0,65.0,50.0,Satisfactory,Mother Only,More Than 20000,No Education,Yes,2.5-3,Trading,Yes,52.0,66.0,65.0,41.0,63.0
F,17.0,61.0,45.0,54.0,53.0,62.0,74.0,57.0,62.0,51.0,38.0,Very Good,Mother and Father,10000-20000,PhD,Yes,2.5-3,Civil Servant,Yes,56.0,61.0,64.0,55.0,84.0
F,16.0,57.0,41.0,45.0,48.0,63.0,68.0,55.0,66.0,54.0,39.0,Very Good,Mother Only,10000-20000,No Education,Yes,2.5-3,Civil Servant,Yes,55.0,50.0,50.0,52.0,62.0
M,17.0,55.0,42.0,59.0,47.0,56.0,59.0,48.0,59.0,55.0,46.0,Excellent,Siblings,10000-20000,Masters,No,3-3.5,Artisan,No,51.0,50.0,54.0,50.0,63.0
F,18.0,64.0,54.0,37.0,58.0,61.0,72.0,67.0,88.0,70.0,60.0,Satisfactory,Mother Only,5000-10000,Degree,No,3-3.5,Trading,Yes,81.0,70.0,57.0,65.0,77.0
F,17.0,69.0,43.0,35.0,19.0,59.0,63.0,44.0,66.0,29.0,40.0,Excellent,Father Only,5000-10000,Masters,No,3-3.5,Artisan,Yes,54.0,47.0,47.0,42.0,58.0
M,17.0,67.0,50.0,52.0,51.0,77.0,62.0,55.0,55.0,51.0,40.0,Satisfactory,Mother Only,5000-10000,Degree,No,2.5-3,Trading,Yes,55.0,50.0,70.0,34.0,79.0
F,17.0,55.0,50.0,36.0,49.0,62.0,74.0,57.0,62.0,36.0,37.0,Good,Mother and Father,10000-20000,Degree,No,3.5-4,Military,Yes,55.0,52.0,58.0,47.0,63.0
M,19.0,62.0,53.0,53.0,63.0,68.0,58.0,58.0,67.0,62.0,44.0,Excellent,Mother Only,5000-10000,Diploma,Yes,2.5-3,Trading,Yes,52.0,47.0,59.0,45.0,53.0
F,19.0,61.0,43.0,55.0,46.0,63.0,73.0,58.0,74.0,59.0,62.0,Good,Mother and Father,5000-10000,Masters,Yes,3-3.5,Artisan,No,56.0,67.0,63.0,50.0,43.0
M,16.0,66.0,44.0,63.0,57.0,61.0,69.0,50.0,74.0,53.0,40.0,Good,Mother and Father,5000-10000,Masters,No,3-3.5,Military,Yes,60.0,56.0,50.0,48.0,66.0
F,17.0,79.0,51.0,59.0,64.0,72.0,81.0,57.0,75.0,71.0,74.0,Good,Siblings,5000-10000,High SchoolDropout,No,3-3.5,Trading,Yes,80.0,70.0,59.0,54.0,85.0
F,16.0,57.0,42.0,52.0,55.0,51.0,51.0,53.0,57.0,61.0,56.0,Good,Mother Only,5000-10000,No Education,No,3-3.5,Artisan,Yes,58.0,79.0,62.0,46.0,64.0
F,17.0,62.0,45.0,50.0,49.0,56.0,67.0,55.0,73.0,51.0,58.0,Good,Mother and Father,5000-10000,High School,No,2.5-3,Trading,Yes,52.0,73.0,62.0,46.0,66.0
F,17.0,67.0,50.0,62.0,42.0,62.0,71.0,56.0,67.0,51.0,53.0,Very Good,Mother Only,5000-10000,Degree,Yes,3-3.5,Civil Servant,Yes,54.0,71.0,56.0,54.0,71.0
F,17.0,63.0,43.0,52.0,55.0,62.0,68.0,40.0,69.0,35.0,39.0,Good,Mother and Father,5000-10000,High School,Yes,3-3.5,Trading,Yes,62.0,51.0,46.0,44.0,70.0
F,17.0,60.0,43.0,53.0,52.0,67.0,78.0,58.0,70.0,52.0,51.0,Satisfactory,Mother and Father,10000-20000,No Education,Yes,3-3.5,Trading,Yes,57.0,50.0,60.0,45.0,66.0
M,17.0,45.0,34.0,52.0,39.0,30.0,54.0,50.0,57.0,27.0,31.0,Good,Mother and Father,10000-20000,Masters,Yes,3.5-4,Civil Servant,Yes,85.0,93.0,92.0,91.0,93.0
M,17.0,59.0,40.0,41.0,54.0,54.0,62.0,56.0,52.0,65.0,22.0,Very Good,Mother and Father,5000-10000,Degree,No,3.5-4,Military,Yes,54.0,38.0,56.0,44.0,47.0
M,17.0,69.0,35.0,43.0,34.0,59.0,47.0,55.0,46.0,53.0,50.0,Very Good,Mother and Father,5000-10000,Degree,No,3.5-4,Military,Yes,58.0,52.0,57.0,48.0,72.0
F,16.0,67.0,50.0,57.0,61.0,56.0,68.0,55.0,76.0,70.0,54.0,Good,I Live Alone,5000-10000,Diploma,Yes,3-3.5,Trading,No,84.0,65.0,63.0,68.0,77.0
M,16.0,52.0,44.0,41.0,59.0,55.0,54.0,46.0,78.0,62.0,35.0,Very Good,Mother Only,Less Than 5000,High School,Yes,3.5-4,Military,Yes,51.0,50.0,48.0,50.0,60.0
M,17.0,50.0,67.0,58.0,63.0,55.0,69.0,56.0,61.0,69.0,37.0,Very Good,Mother and Father,Less Than 5000,Degree,No,2.5-3,Civil Servant,Yes,53.0,60.0,45.0,50.0,74.0
M,16.0,51.0,54.0,52.0,58.0,43.0,52.0,56.0,76.0,52.0,36.0,Excellent,Mother and Father,Less Than 5000,No Education,Yes,2-2.5,Civil Servant,Yes,53.0,45.0,43.0,50.0,56.0
M,17.0,85.0,54.0,62.0,63.0,58.0,80.0,54.0,83.0,58.0,60.0,Good,Mother and Father,5000-10000,Masters,No,3.5-4,Civil Servant,Yes,68.0,50.0,56.0,60.0,56.0
